safe,dsid,kind_hint,indp_policy,priority,already_have,notes
cool_freeze_time_3d_mpi2_0,10351,scalar,last,high,0,full_catalog;NDDT;Cool freeze time - 3D (MPI2.0)
cool_frozen_layer_3d_mpi2_0,10352,scalar,fill_and_last,high,0,full_catalog;NDDT;Cool Frozen Layer - 3D (MPI2.0)
feed_system_shear_rate_3d_mpi2_0,10354,scalar,fill,high,0,full_catalog;NDDT;Feed System Shear Rate - 3D (MPI2.0)
feed_system_velocity_3d_mpi2_0,10355,vector,fill,high,0,full_catalog;NDDT;Feed system velocity - 3D (MPI2.0)
feed_system_volumetric_shrinkage_3d_mpi2_0,10356,scalar,last,high,0,full_catalog;NDDT;Feed system volumetric shrinkage - 3D (M
feed_system_viscosity_3d_mpi2_0,10357,scalar,fill,high,0,full_catalog;NDDT;Feed System Viscosity - 3D (MPI2.0)
feed_system_viscosity_2_3d_mpi2_0,10358,scalar,fill,high,0,full_catalog;NDDT;Feed System Viscosity 2 - 3D (MPI2.0)
feed_system_temperature_3d_mpi2_0,10359,scalar,fill,high,0,full_catalog;NDDT;Feed System Temperature - 3D (MPI2.0)
feed_system_pressure_3d_mpi2_0,10360,scalar,fill,high,0,full_catalog;NDDT;Feed system pressure - 3D (MPI2.0)
feed_system_fill_time_3d_mpi2_0,10361,scalar,last,high,0,full_catalog;NDDT;Feed system fill time - 3D (MPI2.0)
velocity,10362,vector,fill,have,1,already_have_csv
bulk_velocity,10363,vector,fill_and_last,high,0,full_catalog;NDDT;Bulk Velocity
pressure_3d_mpi2_0,10400,scalar,fill,high,0,full_catalog;NDDT;Pressure - 3D (MPI2.0)
temperature_3d_mpi2_0,10401,scalar,fill,high,0,full_catalog;NDDT;Temperature - 3D (MPI2.0)
x_velocity_3d_mpi2_0,10402,vector,fill,high,0,full_catalog;NDDT;X Velocity - 3D (MPI2.0)
y_velocity_3d_mpi2_0,10403,vector,fill,high,0,full_catalog;NDDT;Y Velocity - 3D (MPI2.0)
z_velocity_3d_mpi2_0,10404,vector,fill,high,0,full_catalog;NDDT;Z Velocity - 3D (MPI2.0)
shear_rate_3d_mpi2_0,10405,scalar,fill,high,0,full_catalog;NDDT;Shear rate - 3D (MPI2.0)
viscosity_3d_mpi2_0,10406,scalar,fill,high,0,full_catalog;NDDT;Viscosity - 3D (MPI2.0)
fill_time_3d_mpi2_0,10407,scalar,last,high,0,full_catalog;NDDT;Fill time - 3D (MPI2.0)
volumetric_shrinkage_3d_mpi2_0,10408,scalar,last,high,0,full_catalog;NDDT;Volumetric shrinkage - 3D (MPI2.0)
